Artist,Album,Date,Score,Genre
Andrew W.K.,You're Not Alone,7-Mar-18,8,"['sony', 'rock', 'hard rock', 'arena rock', 'spoken word', 'power pop', 'rock opera', 'self-help', '8/10']"
Andrew W.K.,You're Not Alone,7-Mar-18,,"['new music', 'track', 'single', 'alternative r&b', 'wonky', 'pop', 'uk bass']"
Titus Andronicus,A Productive Cough,8-Mar-18,5,"['merge', 'rock', 'heartland', 'pub rock', 'indie', '5/10']"
Beach House,"""Dive""",8-Mar-18,,"['new music', 'track', 'single', 'video', '7', 'pop', 'dream pop', 'sub pop']"
Sade,"""Flower of the Universe""",9-Mar-18,,"['a wrinkle in time', 'no i.d.', 'remix', 'new music', 'track', 'single', 'soundtrack', 'soul', 'sophisti-pop', 'downtempo', 'trip hop', 'pop']"
Anna von Hausswolff,Dead Magic,10-Mar-18,8,"['city slang', 'other', 'neoclassical', 'darkwave', 'experimental rock', 'drone', 'ambient', '8/10']"
Grouper,"""Parking Lot""",11-Mar-18,,"['new music', 'single', 'track', 'grid of points', 'kranky', 'other', 'singer-songwriter', 'ambient', 'ambient pop']"
Vince Staples,"""Get the Fuck Off My Dick""",11-Mar-18,,"['new music', 'track', 'single', 'def jam', 'west coast', 'trap', 'rap', 'hip hop']"
Vince Staples,"""Get the Fuck Off My Dick""",11-Mar-18,,"['new music', 'track', 'single', 'def jam', 'west coast', 'trap', 'rap', 'hip hop']"
Logic,Bobby Tarantino II,13-Mar-18,5,"['mixtape', 'def jam', 'rap', 'hip hop', 'trap', 'east coast', 'pop rap', '5/10']"
Lil Yachty,Lil Boat 2,14-Mar-18,7,"['quality control music', 'rap', 'hip hop', 'trap', 'pop rap', '7/10']"
The Damned,“Look Left” / “Devil in Disguise”,14-Mar-18,,"['devil in disguise', 'new music', 'track', 'single', 'evil spirits', 'search and destroy', 'rock', 'punk', 'goth', 'post-punk']"
David Byrne,American Utopia,15-Mar-18,7,"['nonesuch', 'pop', 'art pop', '7/10']"
Flying Lotus,Blade Runner 2022 / Perfect Soundtrack Cuts,15-Mar-18,,"['soundtrack', 'blade runner 2022', 'perfect', 'face smasher', 'more human', 'broken night', 'silo drive', 'battlefield', 'choo choo', 'electronic']"
Leon Bridges,“Bet Ain’t Worth the Hand” / “Bad Bad News”,16-Mar-18,,"['bad bad news', 'new music', 'track', 'single', 'pop', 'soul']"
Natalia Lafourcade,Musas Vol. 2,16-Mar-18,,"['sony', 'world music', 'latin', 'folk', 'nueva cancion']"
N.E.R.D,"""Lemon"" (Drake Remix) ft. Rihanna",17-Mar-18,,"['drake', 'rihanna', 'new music', 'track', 'remix', 'no one ever really dies', 'rap', 'hip hop', 'pop rap']"
Remo Drive,Pop Music,17-Mar-18,,"['ep', 'epitaph', 'rock', 'power pop', 'pop punk', 'emo']"
XXXTENTACION,?,19-Mar-18,4,"['bad vibes', 'rap', 'hip hop', 'trap', 'emo', 'singer-songwriter', 'alternative r&b', '4/10']"
Q-Tip,"""Don’t Go Breaking My Heart"" ft. Demi Lovato (Elton John Cover)",19-Mar-18,,"[""don't go breaking my heart"", 'elton john', 'new music', 'track', 'single', 'video', 'cover', 'revamp', 'pop']"
Q-Tip,"""Don’t Go Breaking My Heart"" ft. Demi Lovato (Elton John Cover)",19-Mar-18,,"[""don't go breaking my heart"", 'elton john', 'new music', 'track', 'single', 'video', 'cover', 'revamp', 'pop']"
Flatbush Zombies,"""U&I"" ft. Dia",21-Mar-18,,"['dia', 'new music', 'track', 'single', 'rap', 'hip hop', 'east coast']"
Young Fathers,Cocoa Sugar,21-Mar-18,6,"['ninja tune', 'pop', 'art pop', 'indietronica', 'alternative r&b', 'experimental hip hop', 'neo-soul', '6/10']"
Judas Priest,Firepower,22-Mar-18,8,"['epic', 'loud rock', 'heavy metal', '8/10']"
The Neighbourhood,The Neighbourhood,23-Mar-18,4,"['columbia', 'pop', 'synthpop', 'electropop', 'alternative r&b', 'indie', '4/10']"
Lil Pump,"""Gucci Gang Remix""",24-Mar-18,,"['remix', 'new music', 'track', 'single', 'rap', 'hip hop', 'trap', 'bad bunny', 'ozuna', 'j balvin', '21 savage', 'gucci mane', 'french montana']"
Keiji Haino + SUMAC,American Dollar Bill,24-Mar-18,7,"['haino keiji', 'american dollar bill', 'keep facing sideways', 'thrill jockey', 'loud rock', 'noise rock', 'experimental rock', 'sludge metal', 'free improvisation', '7/10']"
BlocBoy JB,"""Rover 2.0"" ft. 21 Savage",25-Mar-18,,"['rover 2.0', 'new music', 'track', 'single', 'video', 'rap', 'hip hop', 'trap']"
Wendy's,We Beefin?,25-Mar-18,Not Good,"['we beefin', 'mixtape', 'ep', 'rap', 'hip hop', 'novelty', 'trap']"
Mount Eerie,Now Only,26-Mar-18,7,"['singer-songwriter', 'indie rock', 'folk', '7/10']"
Wye Oak,"""Lifer""",27-Mar-18,,"['the louder i call the faster it runs', 'new music', 'track', 'single', 'merge', 'rock', 'indie pop']"
Jack White,Boarding House Reach,27-Mar-18,9,"['third man', 'rock', 'art rock', 'experimental rock', 'blues', '9/10']"
PRhyme,PRhyme 2,28-Mar-18,6,"['royce da 5\'9""', 'dj premier', 'self-released', 'rap', 'hip hop', 'boom bap', 'hardcore hip hop', '6/10']"
The Lemon Twigs,"""Foolin' Around"" / ""Tailor Made""",29-Mar-18,,"['tailor made', 'new music', 'track', 'single', '4ad', 'rock', 'psychedelic pop']"
The Lemon Twigs,"""Foolin' Around"" / ""Tailor Made""",29-Mar-18,,"['tailor made', 'new music', 'track', 'single', '4ad', 'rock', 'psychedelic pop']"
Preoccupations,New Material,29-Mar-18,5,"['jagjaguwar', 'rock', 'post-punk', 'coldwave', '5/10']"
Superorganism,Self-Titled,30-Mar-18,7,"['domino', 'pop', 'glitch pop', 'neo-psychedelia', 'indietronica', 'plunderphonics', '7/10']"
"Tyler, the Creator","""OKRA""",30-Mar-18,,"['new music', 'track', 'single', 'rap', 'hip hop', 'experimental hip hop', 'west coast', 'trap', 'video']"
The Weeknd,"My Dear Melancholy,",2-Apr-18,5,"['ep', 'xo', 'pop', 'r&b', '5/10']"
The Voidz,Virtue,3-Apr-18,8,"['rca', 'cult', 'rock', 'experimental rock', 'hypnagogic pop', 'synth punk', 'neo-psychedelia', '8/10']"
Denzel Curry,"""Sumo""",3-Apr-18,,"['new music', 'track', 'single', 'taboo', 'rap', 'hip hop', 'trap']"
CZARFACE & MF DOOM,Czarface Meets Metal Face,4-Apr-18,7,"['collaboration', 'czarface meets metal face', 'silver age', 'rap', 'hip hop', 'east coast', 'boom bap', '7/10']"
Jean Grae x Quelle Chris,Everything's Fine,6-Apr-18,8,"[""everything's fine"", 'mello music group', 'rap', 'hip hop', 'abstract hip hop', 'jazz rap', '8/10']"
Kacey Musgraves,Golden Hour,7-Apr-18,4,"['mca', 'pop', 'country', '4/10']"
Ruin,Plague Transmissions Vol. 1,8-Apr-18,,"['compilation', 'hpgd', 'loud rock', 'metal', 'death metal', 'quickie']"
Drake,"""Nice for What""",8-Apr-18,,"['new music', 'track', 'single', 'video', 'rap', 'hip hop', 'pop rap', 'contemporary r&b']"
Aminé,"""Campfire""",8-Apr-18,,"['injury reserve', 'new music', 'track', 'single', 'video', 'rap', 'hip hop', 'west coast', 'hyphy', 'pop rap']"
Lil Xan,Total Xanarchy,9-Apr-18,Not Good,"['columbia', 'rap', 'hip hop', 'trap', 'soundcloud']"
Cardi B,Invasion of Privacy,10-Apr-18,6,"['atlantic', 'rap', 'hip hop', 'trap', 'pop rap', 'east coast', '6/10']"
Flatbush Zombies,Vacation in Hell,11-Apr-18,6,"['glorious dead', 'rap', 'hip hop', 'east coast', 'hardcore hip hop', 'conscious hip hop', 'trap', '6/10']"
Kali Uchis,Isolation,13-Apr-18,8,"['pop', 'virgin', 'neo-soul', 'contemporary r&b', '8/10']"
Sons of Kemet,Your Queen Is a Reptile,17-Apr-18,8,"['impulse', 'other', 'jazz', 'afro-jazz', '8/10']"
John Prine,The Tree of Forgiveness,18-Apr-18,7,"['oh boy', 'other', 'singer-songwriter', 'country', 'contemporary folk', 'americana', '7/10']"
Saba,CARE FOR ME,18-Apr-18,,"['self-released', 'rap', 'hip hop', 'conscious', 'jazz rap', 'trap', 'quickie']"
Princess Nokia,A Girl Cried Red,19-Apr-18,4,"['ep', 'mixtape', 'pop', 'rough trade', 'alternative r&b', 'emo', 'trap', '4/10']"
Father John Misty,“Disappointing Diamonds Are the Rarest of Them All” / “Just Dumb Enough to Try”,19-Apr-18,,"['just dumb enough to try', 'new music', 'track', 'single', ""god's favorite customer"", 'sub pop', 'singer-songwriter', 'rock', 'piano rock', 'chamber pop', 'indie']"
Father John Misty,“Disappointing Diamonds Are the Rarest of Them All” / “Just Dumb Enough to Try”,19-Apr-18,,"['just dumb enough to try', 'new music', 'track', 'single', ""god's favorite customer"", 'sub pop', 'singer-songwriter', 'rock', 'piano rock', 'chamber pop', 'indie']"
Unknown Mortal Orchestra,Sex & Food,20-Apr-18,5,"['jagjaguwar', 'pop', 'psych pop', 'lo-fi indie', 'contemporary r&b', '5/10']"
Wavves,"""All Star Goth""",20-Apr-18,,"['new music', 'reissue', 'bonus track', 'record store day', 'ghost ramp', 'rock', 'noise rock', 'surf punk', 'lo-fi indie']"
Blanck Mass,"""Odd Scene"" / ""Shit Luck""",23-Apr-18,,"['shit luck', 'sacred bones', '12""', 'new music', 'track', 'single', 'loud rock', 'metal', 'industrial', 'digital hardcore', 'black metal']"
J. Cole,KOD,23-Apr-18,5,"['dreamville', 'rap', 'hip hop', 'conscious', 'jazz rap', 'trap', '5/10']"
Sleep,The Sciences,24-Apr-18,8,"['third man', 'loud rock', 'stoner metal', 'doom metal', '8/10']"
Hop Along,"Bark Your Head Off, Dog",25-Apr-18,8,"['saddle creek', 'rock', 'indie', 'chamber pop', '8/10']"
A Perfect Circle,Eat the Elephant,26-Apr-18,5,"['bmg', 'rock', 'alternative', 'metal', '5/10']"
Snail Mail,"""Heat Wave""",27-Apr-18,,"['new music', 'track', 'single', 'video', 'lush', 'matador', 'rock', 'indie']"
Felix Blume,Death in Haiti,27-Apr-18,,"['discrepant', 'other', 'jazz', 'funeral', 'field recordings']"
Girl Talk & Erick the Architect,“Trouble in Paradise”,27-Apr-18,,"['flatbush zombies', 'the voidz', 'new music', 'track', 'single', 'collaboration', 'rap', 'hip hop', 'east coast', 'plunderphonics']"
Post Malone,beerbongs & bentleys,30-Apr-18,7,"['republic', 'rap', 'hip hop', 'trap', 'alternative r&b', '7/10']"
Janelle Monáe,Dirty Computer,1-May-18,8,"['bad boy', 'pop', 'contemporary r&b', 'art pop', 'synth funk', 'neo-soul', 'synthpop', 'conscious hip hop', '8/10']"
Panopticon,The Scars of Man on the Once Nameless Wilderness,2-May-18,4,"['nordvis', 'loud rock', 'metal', 'folk', 'black metal', 'atmospheric', 'americana', '4/10']"
Panopticon,The Scars of Man on the Once Nameless Wilderness,2-May-18,4,"['nordvis', 'loud rock', 'metal', 'folk', 'black metal', 'atmospheric', 'americana', '4/10']"
Kimbra,Primal Heart,3-May-18,7,"['warner bros', 'pop', 'art pop', 'electropop', 'alternative r&b', '7/10']"
Daniel Avery,Song for Alpha,4-May-18,5,"['phantasy', 'electronic', 'ambient techno', 'idm', 'tech house', '5/10']"
Rae Sremmurd,SR3MM,8-May-18,4,"['jxmtro', 'swaecation', 'swae lee', 'slim jxmmi', 'rap', 'hip hop', 'pop rap', 'trap', 'contemporary r&b', '4/10']"
Iceage,Beyondless,9-May-18,7,"['matador', 'rock', 'post-punk', 'art rock', 'punk blues', 'art punk', '7/10']"
Jon Hopkins,Singularity,11-May-18,7,"['domino', 'electronic', 'ambient', 'techno', 'house', 'idm', '7/10']"
Mitski,"""Geyser""",13-May-18,,"['to bury your parents', 'look ma no hands', 'new music', 'track', 'single', 'ep', 'jazz', 'art pop', 'avant-garde jazz']"
Mitski,"""Geyser""",13-May-18,,"['to bury your parents', 'look ma no hands', 'new music', 'track', 'single', 'ep', 'jazz', 'art pop', 'avant-garde jazz']"
Mitski,"""Geyser""",14-May-18,,"['new music', 'track', 'single', 'video', 'rock', 'indie', 'singer-songwriter', 'dead oceans', 'be the cowboy', 'art pop']"
Death Grips,"""Black Paint""",15-May-18,,"['new music', 'track', 'single', 'year of the snitch', 'third worlds', 'rap', 'hip hop', 'rock', 'noise rock', 'experimental hip hop', 'industrial']"
Playboi Carti,Die Lit,15-May-18,7,"['interscope', 'rap', 'hip hop', 'trap', 'cloud rap', '7/10']"
Beach House,7,16-May-18,7,"['sub pop', 'pop', 'dream pop', 'shoegaze', 'ethereal wave', 'neo-psychedelia', '7/10']"
Premiere: All India Radio,"""Vega""",17-May-18,,"['new music', 'track', 'single', 'premiere', 'space', 'electronic', 'downtempo', 'ambient']"
Arctic Monkeys,Tranquility Base Hotel + Casino,17-May-18,5,"['rock', 'lounge', 'piano rock', 'art rock', 'psych pop', 'domino', '5/10']"
Ski Mask the Slump God,Beware the Book of Eli,18-May-18,7,"['mixtape', 'republic', 'rap', 'hip hop', 'trap', '7/10']"
Aesop Rock,"""Klutz""",19-May-18,,"['new music', 'track', 'single', 'video', 'rap', 'hip hop', 'abstract hip hop', 'east coast', 'rhymesayers']"
Frank Ocean,Endless,20-May-18,8,"['reissue', 'pop', 'ambient pop', 'alternative r&b', 'neo-soul', '8/10']"
Oh Sees,"""Overthrown""",21-May-18,,"['smote reverser', 'castle face', 'new music', 'track', 'single', 'rock', 'noise rock', 'heavy psych', 'metal', 'heavy metal', 'speed metal']"
Courtney Barnett,Tell Me How You Really Feel,22-May-18,6,"['milk', 'mom + pop', 'rock', 'indie', 'garage rock', 'singer-songwriter', '6/10']"
Parquet Courts,Wide Awake!,23-May-18,9,"['rough trade', 'rock', 'indie', 'post-punk', 'art punk', '9/10']"
Nav,Reckless,24-May-18,Not Good,"['xo', 'rap', 'hip hop', 'trap', 'r&b']"
James Blake,"""Don't Miss It""",24-May-18,,"['new music', 'track', 'single', 'pop', 'art pop', 'alternative r&b', 'glitch', 'future garage']"
Mark Kozelek,Mark Kozelek,25-May-18,7,"['self-titled', 'other', 'singer-songwriter', 'ambient', 'avant-folk', '7/10']"
Drake,"""Duppy Freestyle""",25-May-18,,"['freestyle', 'new music', 'track', 'single', 'diss', 'pusha t', 'rap', 'hip hop', 'jazz rap', 'boom bap']"
Pusha T,DAYTONA,28-May-18,8,"['good music', 'rap', 'hip hop', 'hardcore hip hop', '8/10']"
Pusha T,"""The Story of Adidon""",29-May-18,,"['diss', 'new music', 'track', 'drake', 'rap', 'hip hop', 'story of oj', 'duppy']"
Park Jiha,Communion,29-May-18,6,"['glitterbeat', 'classical', 'post-minimalism', 'avant-garde jazz', 'south korea', 'other', '6/10']"
BTS,Love Yourself 轉 'Tear',30-May-18,6,"['tear', 'bighit', 'pop', 'k-pop', 'alternative r&b', 'pop rap', '6/10']"
A$AP Rocky,Testing,31-May-18,4,"['rca', 'rap', 'hip hop', 'trap', 'cloud rap', 'alternative r&b', '4/10']"
NIKI,Zephyr,1-Jun-18,7,"['88rising', 'pop', 'r&b', 'contemporary r&b', 'alternative r&b', '7/10']"
Kanye West,ye,4-Jun-18,8,"['g.o.o.d. music', 'rap', 'hip hop', 'pop rap', 'experimental hip hop', 'neo-soul', '8/10']"
Juice WRLD,Goodbye & Good Riddance,5-Jun-18,5,"['interscope', 'rap', 'hip hop', 'trap', 'emo', '5/10']"
Oneohtrix Point Never,Age Of,6-Jun-18,6,"['warp', 'electronic', 'classical', 'midi', 'progressive electronic', 'art pop', 'post-industrial', 'glitch', '6/10']"
serpentwithfeet,"""seedless""",7-Jun-18,,"['soil', 'secretly canadian', 'new music', 'track', 'single', 'pop', 'art pop', 'alternative r&b']"
Father John Misty,God's Favorite Customer,7-Jun-18,7,"['sub pop', 'other', 'singer-songwriter', 'chamber pop', 'piano rock', '7/10']"
Death Grips,"""Hahaha""",8-Jun-18,,"['year of the snitch', 'new music', 'track', 'single', 'rap', 'hip hop', 'experimental hip hop', 'glitch hop', 'synth punk']"
Ghost,Prequelle,8-Jun-18,8,"['loma vista', 'loud rock', 'metal', 'arena rock', '8/10']"
Kids See Ghosts,KIDS SEE GHOSTS,11-Jun-18,10,"['g.o.o.d. music', 'kanye west', 'kid cudi', 'rap', 'hip hop', 'alternative r&b', 'neo-soul', 'neo-psychedelia', 'experimental hip hop', 'grunge', '10/10']"
Godsmack,When Legends Rise,12-Jun-18,Not Good,"['loud rock', 'alternative metal', 'post-grunge']"
Tierra Whack,Whack World,13-Jun-18,7,"['self-released', 'rap', 'hip hop', 'r&b', 'trap', 'east coast', 'neo-soul', '7/10']"
Black Thought & 9th Wonder,"Streams of Thought, Vol. 1",15-Jun-18,8,"['streams of thought', 'ep', 'rap', 'hip hop', 'east coast', 'boom bap', '8/10']"
Black Thought & 9th Wonder,"Streams of Thought, Vol. 1",15-Jun-18,8,"['streams of thought', 'ep', 'rap', 'hip hop', 'east coast', 'boom bap', '8/10']"
Big Ups,Two Parts Together,18-Jun-18,6,"['exploding in sound', 'rock', 'post-hardcore', 'noise rock', 'math rock', '6/10']"
Tropical Fuck Storm,A Laughing Death in Meatspace,19-Jun-18,8,"['mistletone', 'melbourne', 'rock', 'post-punk', 'punk blues', 'psychedelic rock', '8/10']"
LUMP,LUMP,20-Jun-18,7,"['dead oceans', 'singer-songwriter', 'indie folk', 'folktronica', '7/10']"
Bladee,Red Light,21-Jun-18,1,"['year00001', 'rap', 'hip hop', 'cloud rap', 'alternative r&b', 'trap', '1/10']"
Nas,Nasir,26-Jun-18,6,"['g.o.o.d. music', 'rap', 'hip hop', 'east coast', 'political', '6/10']"
SOPHIE,Oil of Every Pearl's Un-Insides,27-Jun-18,8,"['msmsmsm', 'pop', 'electronic', 'art pop', 'post-industrial', 'bubblegum bass', 'ambient', '8/10']"
Rico Nasty,Nasty,28-Jun-18,6,"['sugar trap', 'atlantic', 'rap', 'hip hop', 'trap', 'hardcore hip hop', '6/10']"
Death Grips,Year of the Snitch,29-Jun-18,9,"['third worlds', 'harvest', 'other', 'experimental hip hop', 'industrial', 'noise rock', 'experimental rock', '9/10']"
Freddie Gibbs,Freddie,30-Jun-18,,"['mixtape', 'esgn', 'rap', 'hip hop', 'trap', 'gangsta rap', 'quickie']"
Nine Inch Nails,Bad Witch,2-Jul-18,7,"['null', 'rock', 'industrial', 'dark jazz', 'dark ambient', 'drone', 'noise rock', '7/10']"
Drake,Scorpion,3-Jul-18,4,"['ovo', 'rap', 'hip hop', 'pop rap', 'trap', 'contemporary r&b', '4/10']"
Jay Rock,Redemption,4-Jul-18,4,"['tde', 'top dawg', 'rap', 'hip hop', 'west coast', 'pop rap', 'trap', '4/10']"
Gorillaz,The Now Now,5-Jul-18,6,"['parlophone', 'pop', 'electropop', 'synthpop', 'synth funk', '6/10']"
Kamasi Washington,Heaven and Earth,6-Jul-18,6,"['young turks', 'jazz', 'other', 'spiritual jazz', 'jazz fusion', '6/10']"
Vein,Errorzone,7-Jul-18,6,"['closed casket activities', 'loud rock', 'metalcore', 'mathcore', 'alternative metal', 'nu metal', '6/10']"
Vein,Errorzone,7-Jul-18,6,"['closed casket activities', 'loud rock', 'metalcore', 'mathcore', 'alternative metal', 'nu metal', '6/10']"
Brockhampton,"""1999 WILDFIRE""",8-Jul-18,,"['best years of our lives', 'new music', 'track', 'single', 'video', 'pop', 'rca', 'rap', 'hip hop', 'pop rap', 'neo-soul', 'alternative r&b']"
Teyana Taylor,K.T.S.E.,9-Jul-18,6,"['g.o.o.d. music', 'pop', 'contemporary r&b', '6/10']"
The Carters,Everything Is Love,10-Jul-18,5,"['beyonce', 'everything is love', 'collaboration', 'roc nation', 'rap', 'hip hop', 'trap', 'pop rap', 'contemporary r&b', '5/10']"
Zeal & Ardor,Stranger Fruit,11-Jul-18,8,"['self-released', 'loud rock', 'black metal', 'spirituals', 'avant-garde metal', 'alternative metal', '8/10']"
Florence + The Machine,High as Hope,13-Jul-18,7,"['republic', 'pop', 'art pop', 'chamber pop', 'soul', '7/10']"
serpentwithfeet,soil,16-Jul-18,7,"['secretly canadian', 'pop', 'art pop', 'alternative r&b', '7/10']"
Deafheaven,Ordinary Corrupt Human Love,17-Jul-18,5,"['anti', 'loud rock', 'black metal', 'blackgaze', 'post-rock', '5/10']"
Haru Nemuri,Haru to Shura,18-Jul-18,8,"['perfect', 'japan', 'j-pop', 'noise pop', 'rock', 'rap', 'post-hardcore', 'experimental rock', '8/10']"
Snail Mail,Lush,19-Jul-18,6,"['matador', 'rock', 'indie', '6/10']"
Dirty Projectors,Lamp Lit Prose,23-Jul-18,6,"['domino', 'pop', 'art pop', 'indie', 'alternative r&b', '6/10']"
Busdriver,Electricity is on our Side,24-Jul-18,5,"['temporary whatever', 'rap', 'hip hop', 'abstract hip hop', 'jazz rap', 'poetry', '5/10']"
The Internet,Hive Mind,25-Jul-18,7,"['columbia', 'pop', 'neo-soul', 'alternative r&b', '7/10']"
88rising,Head in the Clouds,26-Jul-18,5,"['compilation', 'various artists', 'rap', 'hip hop', 'pop rap', 'trap', 'alternative r&b', '5/10']"
Melody's Echo Chamber,Bon Voyage,27-Jul-18,7,"['domino', 'pop', 'neo-psychedelia', 'progressive pop', 'dream pop', '7/10']"
Denzel Curry,TA13OO,30-Jul-18,8,"['loma vista', 'rap', 'hip hop', 'trap', 'hardcore hip hop', 'conscious', '8/10']"
Let's Eat Grandma,I'm All Ears,31-Jul-18,7,"['uk', 'pop', 'art pop', 'synthpop', 'electropop', 'indietronica', '7/10']"
James Ferraro,Four Pieces for Mirai,3-Aug-18,7,"['self-released', 'experimental', 'electronic', 'progressive electronic', 'modern classical', 'midi', 'new age', 'glitch', '7/10']"
Travis Scott,Astroworld,6-Aug-18,7,"['epic', 'rap', 'hip hop', 'trap', '7/10']"
YG,Stay Dangerous,8-Aug-18,5,"['def jam', 'rap', 'hip hop', 'trap', 'west coast', '5/10']"
Mac Miller,Swimming,9-Aug-18,3,"['warner bros', 'rap', 'hip hop', 'pop rap', 'alternative r&b', 'neo-soul', '3/10']"
Imperial Triumphant,Vile Luxury,10-Aug-18,8,"['gilead media', 'loud rock', 'metal', 'technical death metal', 'black metal', 'avant-garde jazz', '8/10']"
Valee,"GOOD Job, You Found Me",13-Aug-18,3,"['ep', 'g.o.o.d. music', 'rap', 'hip hop', 'trap', '3/10']"
Nicki Minaj,Queen,14-Aug-18,5,"['young money', 'rap', 'hip hop', 'pop rap', 'trap', 'contemporary r&b', 'east coast', '5/10']"
HMLTD,Hate Music Last Time Delete,15-Aug-18,8,"['ep', 'sony', 'uk', 'pop', 'synthpop', 'new wave', 'post-punk', 'art pop', '8/10']"
Trippie Redd,Life's a Trip,16-Aug-18,5,"['tenthousand projects', 'rap', 'hip hop', 'emo', 'trap', 'alternative r&b', '5/10']"
Iglooghost,Clear Tamei / Steel Mogu,17-Aug-18,8,"['steel mogu', 'ep', 'self-released', 'electronic', 'wonky', 'glitch hop', ""drill 'n' bass"", '8/10', '7/10']"
Young Thug,Slime Language,21-Aug-18,5,"['ysl', 'compilation', 'young stoner life', 'rap', 'hip hop', 'trap', '5/10']"
Mitski,Be the Cowboy,22-Aug-18,6,"['dead oceans', 'pop', 'art pop', 'indie rock', 'indie', '6/10']"
Ariana Grande,Sweetener,23-Aug-18,7,"['republic', 'pop', 'contemporary r&b', 'electropop', '7/10']"
Louis Cole,Time,24-Aug-18,8,"['brainfeeder', 'synth funk', 'pop', 'synthpop', 'sophisti-pop', '8/10']"
Hermit and the Recluse,Orpheus vs. the Sirens,27-Aug-18,8,"['animoss', 'orpheus vs. the sirens', 'collaboration', 'rap', 'hip hop', 'abstract hip hop', 'east coast', 'self-released', '8/10']"
Oh Sees,Smote Reverser,29-Aug-18,6,"['smote reverser', 'castle face', 'rock', 'psychedelic rock', 'heavy psych', 'prog', 'krautrock', '6/10']"
Blood Orange,Negro Swan,30-Aug-18,8,"['domino', 'pop', 'alternative r&b', 'synth funk', 'sophisti-pop', '8/10']"
Interpol,Marauder,31-Aug-18,4,"['matador', 'rock', 'post-punk', '4/10']"
Interpol,Marauder,31-Aug-18,4,"['matador', 'rock', 'post-punk', '4/10']"
Eminem,Kamikaze,3-Sep-18,4,"['aftermath', 'rap', 'hip hop', 'hardcore hip hop', 'pop rap', 'trap', '4/10']"
George Clanton,Slide,4-Sep-18,7,"['100% electronica', 'pop', 'hypnagogic pop', 'chillwave', 'synthpop', '7/10']"
IDLES,Joy as an Act of Resistance.,5-Sep-18,9,"['uk', 'partisan', 'post-punk', 'rock', 'post-hardcore', 'punk', '9/10']"
Armand Hammer,Paraffin,6-Sep-18,8,"['billy woods', 'elucid', 'backwoodz studioz', 'rap', 'hip hop', 'east coast', 'abstract hip hop', '8/10']"
Premiere: Hunters Chorus,"""Wish""",7-Sep-18,,"['sun kil moon', 'new music', 'premiere', 'track', 'single', 'wish', 'old growler', 'rock', 'instrumental', 'caldo verde']"
Okonkolo,Cantos,8-Sep-18,7,"['big crown', 'other', 'santeria', 'baroque', '7/10']"
Thou,Magus,10-Sep-18,6,"['sacred bones', 'loud rock', 'metal', 'sludge metal', 'doom metal', '6/10']"
$uicideBoy$,I Want to Die in New Orleans,12-Sep-18,6,"['g*59', 'rap', 'hip hop', 'trap', 'soundcloud', 'memphis rap', 'cloud rap', '6/10']"
Yves Tumor,Safe in the Hands of Love,13-Sep-18,7,"['warp', 'other', 'post-industrial', 'deconstructed club', 'art pop', '7/10']"
Russ,Zoo,14-Sep-18,3,"['columbia', 'rap', 'hip hop', 'trap', 'pop rap', '3/10']"
Aphex Twin,Collapse EP,17-Sep-18,8,"['ep', 'warp', 'electronic', 'idm', 'footwork', '8/10']"
Noname,Room 25,18-Sep-18,8,"['self-released', 'rap', 'hip hop', 'jazz rap', 'conscious', 'neo-soul', '8/10']"
6LACK,East Atlanta Love Letter,19-Sep-18,4,"['interscope', 'rap', 'hip hop', 'alternative r&b', 'trap', 'cloud rap', '4/10']"
Spiritualized,And Nothing Hurt,20-Sep-18,7,"['fat possum', 'bella union', 'rock', 'chamber pop', 'neo-psychedelia', 'space rock', '7/10']"
Guerilla Toss,Twisted Crystal,21-Sep-18,8,"['dfa', 'pop', 'art pop', 'zolo', 'neo-psychedelia', 'dance-punk', '8/10']"
BROCKHAMPTON,iridescence,24-Sep-18,7,"['rca', 'rap', 'hip hop', 'pop', 'hardcore hip hop', 'pop rap', 'alternative r&b', '7/10']"
milo,budding ornithologists are weary of tired analogies,25-Sep-18,6,"['ruby yacht', 'rap', 'hip hop', 'abstract hip hop', 'jazz rap', '6/10']"
milo,budding ornithologists are weary of tired analogies,25-Sep-18,6,"['ruby yacht', 'rap', 'hip hop', 'abstract hip hop', 'jazz rap', '6/10']"
Hozier,Nina Cried Power,26-Sep-18,6,"['ep', 'rubyworks', 'pop', 'singer-songwriter', 'soul', 'blues rock', '6/10']"
JMSN,Velvet,27-Sep-18,7,"['white room', 'pop', 'alternative r&b', 'neo-soul', '7/10']"
Lupe Fiasco,DROGAS Wave,1-Oct-18,7,"['1st & 15', 'rap', 'hip hop', 'conscious', 'pop rap', 'jazz rap', '7/10']"
Lil Wayne,Tha Carter V,2-Oct-18,6,"['young money', 'rap', 'hip hop', 'pop rap', 'trap', 'hardcore hip hop', '6/10']"
Tim Hecker,Konoyo,3-Oct-18,6,"['kranky', 'electronic', 'ambient', 'drone', 'gagaku', 'glitch', 'electroacoustic', '6/10']"
Kero Kero Bonito,Time 'n' Place,4-Oct-18,8,"['polyvinyl', 'pop', 'indie', 'twee pop', 'synthpop', 'noise pop', '8/10']"
Logic,YSIV,5-Oct-18,5,"['young sinatra', 'def jam', 'rap', 'hip hop', 'east coast', 'boom bap', 'pop rap', '5/10']"
